Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths,WeekNum,Month,Last7Days,Last14Days,Last30Days,CasesPM,DeathsPM,MyCountries,GrowthPerDay,PercentChange,DeathPerDay,DeathPerChange
2020-04-12,Afghanistan,,33.0,65.0,607,32,18,15,4,False,False,True,0,0,False,52,0.0,0,0.0
2020-04-13,Afghanistan,,33.0,65.0,665,32,21,16,4,False,False,True,0,0,False,58,0.0,3,0.0
2020-04-14,Afghanistan,,33.0,65.0,714,40,23,16,4,False,False,True,0,0,False,49,0.0,2,0.0
2020-04-15,Afghanistan,,33.0,65.0,784,43,25,16,4,False,False,True,0,0,False,70,0.0,2,0.0
2020-04-16,Afghanistan,,33.0,65.0,840,54,30,16,4,False,False,True,0,0,False,56,0.0,5,0.0
2020-04-17,Afghanistan,,33.0,65.0,906,99,30,16,4,False,False,True,0,0,False,66,0.0,0,0.0
2020-04-18,Afghanistan,,33.0,65.0,933,112,30,16,4,False,False,True,0,0,False,27,0.0,0,0.0
2020-04-19,Afghanistan,,33.0,65.0,996,131,33,16,4,False,False,True,0,0,False,63,0.0,3,0.0
2020-04-20,Afghanistan,,33.0,65.0,1026,135,36,17,4,False,True,True,0,0,False,30,0.0,3,0.0
2020-04-21,Afghanistan,,33.0,65.0,1092,150,36,17,4,False,True,True,0,0,False,66,0.0,0,0.0
2020-04-22,Afghanistan,,33.0,65.0,1176,166,40,17,4,False,True,True,0,0,False,84,0.0,4,0.0
2020-04-23,Afghanistan,,33.0,65.0,1279,179,42,17,4,False,True,True,0,0,False,103,0.0,2,0.0
2020-04-24,Afghanistan,,33.0,65.0,1351,188,43,17,4,False,True,True,0,0,False,72,0.0,1,0.0
2020-04-25,Afghanistan,,33.0,65.0,1463,188,47,17,4,False,True,True,0,0,False,112,0.0,4,0.0
2020-04-26,Afghanistan,,33.0,65.0,1531,207,50,17,4,False,True,True,0,0,False,68,0.0,3,0.0
2020-04-27,Afghanistan,,33.0,65.0,1703,220,57,18,4,True,True,True,0,0,False,172,0.0,7,0.0
2020-04-28,Afghanistan,,33.0,65.0,1828,228,58,18,4,True,True,True,0,0,False,125,0.0,1,0.0
2020-04-29,Afghanistan,,33.0,65.0,1939,252,60,18,4,True,True,True,0,0,False,111,0.0,2,0.0
2020-04-30,Afghanistan,,33.0,65.0,2171,260,64,18,4,True,True,True,0,0,False,232,0.0,4,0.0
2020-05-01,Afghanistan,,33.0,65.0,2335,310,68,18,5,True,True,True,0,0,False,164,0.0,4,0.0
2020-05-02,Afghanistan,,33.0,65.0,2469,331,72,18,5,True,True,True,0,0,False,134,0.0,4,0.0
2020-05-03,Afghanistan,,33.0,65.0,2704,345,85,18,5,True,True,True,0,0,False,235,0.0,13,0.0
2020-01-22,Albania,,41.1533,20.1683,0,0,0,4,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-23,Albania,,41.1533,20.1683,0,0,0,4,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-24,Albania,,41.1533,20.1683,0,0,0,4,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-25,Albania,,41.1533,20.1683,0,0,0,4,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-26,Albania,,41.1533,20.1683,0,0,0,4,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-27,Albania,,41.1533,20.1683,0,0,0,5,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-28,Albania,,41.1533,20.1683,0,0,0,5,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-29,Albania,,41.1533,20.1683,0,0,0,5,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-30,Albania,,41.1533,20.1683,0,0,0,5,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-31,Albania,,41.1533,20.1683,0,0,0,5,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-01,Albania,,41.1533,20.1683,0,0,0,5,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-02,Albania,,41.1533,20.1683,0,0,0,5,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-03,Albania,,41.1533,20.1683,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-04,Albania,,41.1533,20.1683,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-05,Albania,,41.1533,20.1683,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-06,Albania,,41.1533,20.1683,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-07,Albania,,41.1533,20.1683,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-08,Albania,,41.1533,20.1683,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-09,Albania,,41.1533,20.1683,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-10,Albania,,41.1533,20.1683,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-11,Albania,,41.1533,20.1683,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-12,Albania,,41.1533,20.1683,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-13,Albania,,41.1533,20.1683,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-14,Albania,,41.1533,20.1683,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-15,Albania,,41.1533,20.1683,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-16,Albania,,41.1533,20.1683,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-17,Albania,,41.1533,20.1683,0,0,0,8,2,False,False,False,0,0,False,0,0.0,0,0.0
